Variable,Season,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
FWI_FD,year,1.161,0.965,1.134,1.376,1.697,0.816,1.040,0.728,0.888,1.866,1.984,1.370,1.169,0.995,1.267,2.324,1.619,1.313,0.922,1.083,0.881,1.048,1.116,1.981,1.001,1.124,1.458,1.203,0.893,1.201,1.341,1.772,0.779,1.439,1.097,1.208,1.001,1.191,2.019,1.202,1.699,1.277,2.140,1.210,1.015
FWI_FD,MAMJJASO,1.622,1.312,1.604,1.844,2.466,1.078,1.431,0.967,1.158,2.583,2.834,1.923,1.613,1.295,1.792,3.341,2.312,1.827,1.188,1.478,1.215,1.430,1.572,2.821,1.357,1.501,2.035,1.633,1.185,1.713,1.927,2.482,1.040,2.021,1.559,1.685,1.370,1.658,2.914,1.654,2.456,1.799,3.053,1.646,1.368
FWI_FD,AMJJAS,2.092,1.706,2.075,2.312,3.193,1.169,1.644,1.216,1.450,3.196,3.410,2.386,2.009,1.429,2.186,4.227,2.924,2.060,1.465,1.791,1.449,1.835,1.789,3.133,1.683,1.857,2.615,1.979,1.434,1.983,2.400,2.858,1.120,2.551,1.824,2.008,1.608,1.959,3.650,2.084,3.122,2.236,3.864,2.094,1.751
FWI_FD,ONDJFM,0.118,0.293,0.214,0.240,0.379,0.207,0.478,0.403,0.261,0.399,0.661,0.329,0.434,0.522,0.316,0.315,0.441,0.449,0.558,0.244,0.474,0.155,0.374,0.516,0.700,0.361,0.341,0.299,0.452,0.346,0.353,0.400,0.796,0.197,0.378,0.389,0.307,0.445,0.357,0.535,0.262,0.222,0.452,0.313,0.226
FWI_FD,NDJF,0.103,0.325,0.209,0.259,0.324,0.179,0.289,0.211,0.259,0.432,0.324,0.190,0.353,0.338,0.211,0.180,0.300,0.252,0.415,0.209,0.295,0.141,0.299,0.209,0.235,0.360,0.295,0.248,0.407,0.225,0.092,0.232,0.384,0.151,0.207,0.218,0.199,0.276,0.213,0.343,0.141,0.145,0.341,0.319,0.178
FWI_3+,year,3.990,0.274,0.530,2.670,3.812,0.235,0.997,0.155,0.152,5.928,8.935,2.157,3.025,0.775,3.497,16.426,3.750,1.546,0.675,1.961,0.282,0.964,0.291,5.705,1.266,1.059,6.164,1.001,0.644,0.820,3.433,5.712,0.320,3.110,0.712,1.872,0.557,0.913,14.902,0.569,6.457,0.517,14.308,3.285,1.462
FWI_3+,MAMJJASO,3.990,0.274,0.530,2.669,3.812,0.096,0.994,0.155,0.151,5.913,8.934,2.157,3.013,0.754,3.485,16.417,3.742,1.539,0.653,1.947,0.280,0.958,0.284,5.679,1.259,1.052,6.146,0.975,0.638,0.815,3.433,5.708,0.308,3.078,0.691,1.788,0.546,0.903,14.898,0.565,6.450,0.511,14.286,3.280,1.430
FWI_3+,AMJJAS,3.989,0.274,0.530,2.667,3.812,0.081,0.970,0.155,0.150,5.889,8.916,2.145,3.013,0.746,3.467,16.407,3.731,1.449,0.649,1.932,0.279,0.955,0.224,4.898,1.252,1.033,6.146,0.967,0.634,0.636,3.427,5.499,0.223,3.042,0.493,1.746,0.525,0.883,14.831,0.564,6.440,0.505,14.277,3.278,1.390
FWI_3+,ONDJFM,0.000,0.001,0.000,0.000,0.003,0.001,0.156,0.025,0.001,0.017,0.035,0.008,0.018,0.030,0.014,0.026,0.027,0.054,0.071,0.019,0.017,0.006,0.016,0.081,0.788,0.007,0.032,0.023,0.026,0.014,0.181,0.004,0.306,0.014,0.160,0.150,0.091,0.048,0.023,0.062,0.021,0.011,0.026,0.009,0.035
FWI_3+,NDJF,0.000,0.000,0.000,0.000,0.000,0.000,0.139,0.003,0.001,0.016,0.001,0.000,0.007,0.022,0.008,0.013,0.012,0.004,0.022,0.016,0.004,0.005,0.008,0.015,0.014,0.006,0.013,0.019,0.022,0.008,0.000,0.000,0.016,0.004,0.030,0.045,0.059,0.019,0.002,0.004,0.010,0.005,0.020,0.006,0.013
FWI_4+,year,0.034,0.000,0.001,0.005,0.012,0.003,0.007,0.000,0.000,0.053,0.834,0.042,0.048,0.013,0.041,1.564,0.067,0.118,0.006,0.022,0.001,0.005,0.016,0.091,0.032,0.013,0.169,0.009,0.023,0.014,0.072,0.383,0.010,0.087,0.183,0.106,0.010,0.014,0.987,0.014,0.166,0.005,2.630,0.031,0.091
FWI_4+,MAMJJASO,0.034,0.000,0.001,0.005,0.012,0.002,0.007,0.000,0.000,0.049,0.834,0.042,0.045,0.007,0.041,1.562,0.066,0.116,0.005,0.020,0.001,0.004,0.014,0.088,0.031,0.012,0.167,0.009,0.022,0.013,0.072,0.382,0.007,0.083,0.181,0.086,0.008,0.014,0.987,0.014,0.165,0.005,2.628,0.031,0.086
FWI_4+,AMJJAS,0.034,0.000,0.001,0.005,0.012,0.002,0.005,0.000,0.000,0.049,0.833,0.042,0.045,0.007,0.037,1.562,0.066,0.111,0.005,0.019,0.000,0.004,0.007,0.079,0.030,0.009,0.167,0.009,0.021,0.007,0.071,0.379,0.005,0.074,0.102,0.073,0.006,0.009,0.977,0.014,0.164,0.004,2.627,0.031,0.078
FWI_4+,ONDJFM,0.000,0.000,0.000,0.000,0.000,0.000,0.002,0.001,0.000,0.004,0.001,0.000,0.001,0.007,0.002,0.005,0.002,0.001,0.008,0.002,0.003,0.001,0.002,0.009,0.011,0.001,0.006,0.002,0.000,0.002,0.007,0.001,0.008,0.003,0.051,0.050,0.025,0.005,0.007,0.007,0.002,0.001,0.002,0.001,0.006
FWI_4+,NDJF,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.000,0.004,0.000,0.000,0.001,0.007,0.002,0.001,0.001,0.001,0.002,0.002,0.001,0.001,0.001,0.001,0.002,0.001,0.002,0.001,0.000,0.002,0.000,0.000,0.003,0.000,0.004,0.008,0.014,0.002,0.000,0.001,0.001,0.001,0.001,0.001,0.002
FWI_5+,year,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.000,0.003,0.000,0.000,0.001,0.005,0.006,0.010,0.001,0.004,0.000,0.000,0.000,0.000,0.002,0.009,0.010,0.002,0.003,0.000,0.004,0.001,0.004,0.021,0.001,0.006,0.076,0.027,0.001,0.001,0.003,0.001,0.004,0.000,0.047,0.000,0.027
FWI_5+,MAMJJASO,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.000,0.001,0.000,0.000,0.001,0.004,0.006,0.009,0.001,0.004,0.000,0.000,0.000,0.000,0.002,0.008,0.009,0.002,0.002,0.000,0.004,0.001,0.004,0.021,0.001,0.005,0.076,0.024,0.000,0.001,0.003,0.001,0.004,0.000,0.047,0.000,0.027
