Variable,Season,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
WIND,year,2.848,2.849,2.811,3.051,2.872,2.856,3.069,2.957,3.109,3.127,3.174,2.933,3.014,3.075,2.939,2.950,2.716,2.850,2.894,2.826,2.790,2.672,2.773,2.708,2.692,2.703,2.650,2.835,2.839,2.607,2.477,2.690,2.688,2.543,2.542,2.751,2.502,2.732,2.493,2.671,2.860,2.653,2.609,2.652,2.616
WIND,MAMJJASO,2.844,2.774,2.766,2.884,2.734,2.889,2.981,2.974,2.964,2.923,3.066,2.786,2.931,2.826,2.959,2.886,2.688,2.779,2.836,2.682,2.678,2.579,2.645,2.682,2.679,2.571,2.571,2.735,2.692,2.616,2.532,2.648,2.640,2.514,2.484,2.668,2.442,2.723,2.522,2.659,2.749,2.706,2.516,2.611,2.443
WIND,AMJJAS,2.686,2.649,2.715,2.715,2.635,2.836,2.866,2.896,2.900,2.791,2.784,2.774,2.844,2.756,2.782,2.757,2.693,2.694,2.697,2.593,2.470,2.543,2.500,2.661,2.617,2.541,2.510,2.756,2.522,2.578,2.453,2.564,2.622,2.479,2.383,2.681,2.397,2.624,2.480,2.531,2.691,2.600,2.543,2.480,2.437
WIND,ONDJFM,2.663,3.274,2.889,3.195,3.287,2.871,3.075,3.132,3.251,3.590,3.533,3.108,3.222,3.328,3.185,3.278,2.711,3.044,2.945,2.929,3.269,2.810,3.093,2.759,2.784,2.892,2.661,3.047,3.098,2.675,2.612,2.636,2.881,2.529,2.805,2.797,2.603,2.710,2.732,2.711,2.929,2.774,2.828,2.667,2.784
WIND,NDJF,2.330,3.274,2.736,3.379,3.332,2.672,3.037,3.148,3.260,3.702,3.389,3.096,3.277,3.497,3.043,3.235,2.704,3.072,2.989,2.794,3.265,2.791,3.159,2.694,2.771,2.951,2.655,3.154,3.194,2.586,2.510,2.523,2.893,2.517,2.842,2.737,2.785,2.648,2.648,2.521,2.987,2.713,2.919,2.610,2.791
VPD,year,0.201,0.221,0.243,0.259,0.227,0.209,0.228,0.202,0.243,0.244,0.227,0.215,0.276,0.240,0.258,0.258,0.255,0.269,0.229,0.298,0.252,0.244,0.322,0.246,0.231,0.248,0.295,0.253,0.258,0.238,0.241,0.270,0.253,0.268,0.296,0.273,0.253,0.223,0.322,0.302,0.283,0.288,0.271,0.297,0.306
VPD,MAMJJASO,0.272,0.299,0.326,0.345,0.303,0.284,0.305,0.272,0.326,0.322,0.299,0.284,0.376,0.317,0.351,0.348,0.348,0.363,0.307,0.408,0.338,0.329,0.446,0.336,0.317,0.332,0.407,0.347,0.347,0.327,0.337,0.368,0.346,0.362,0.405,0.365,0.347,0.301,0.449,0.410,0.375,0.395,0.368,0.409,0.417
VPD,AMJJAS,0.322,0.355,0.388,0.416,0.360,0.340,0.361,0.312,0.393,0.385,0.342,0.334,0.458,0.381,0.424,0.416,0.419,0.444,0.357,0.493,0.391,0.394,0.548,0.400,0.384,0.397,0.504,0.409,0.421,0.404,0.410,0.439,0.420,0.437,0.475,0.420,0.419,0.361,0.550,0.497,0.436,0.468,0.428,0.498,0.498
VPD,ONDJFM,0.067,0.089,0.084,0.098,0.104,0.082,0.087,0.087,0.095,0.110,0.110,0.091,0.101,0.090,0.089,0.102,0.094,0.101,0.091,0.096,0.107,0.110,0.098,0.092,0.076,0.085,0.091,0.107,0.086,0.084,0.065,0.085,0.098,0.086,0.118,0.118,0.105,0.084,0.083,0.103,0.126,0.104,0.127,0.093,0.102
VPD,NDJF,0.041,0.069,0.055,0.085,0.084,0.058,0.062,0.065,0.075,0.085,0.080,0.069,0.078,0.080,0.067,0.078,0.062,0.079,0.072,0.058,0.085,0.076,0.072,0.060,0.061,0.067,0.065,0.072,0.072,0.064,0.049,0.053,0.072,0.065,0.082,0.076,0.078,0.061,0.063,0.073,0.097,0.077,0.079,0.065,0.069
FWI_FD,year,0.829,0.850,1.325,1.407,1.139,0.756,1.166,0.822,1.143,1.204,1.140,0.804,2.000,1.380,1.699,1.176,1.702,1.627,0.739,2.014,1.635,0.906,2.922,1.209,0.989,1.074,2.328,1.106,1.336,1.606,2.450,4.016,4.022,4.275,3.427,1.323,1.078,0.751,2.191,2.010,1.375,1.672,1.269,1.978,1.368
FWI_FD,MAMJJASO,1.207,1.248,1.908,2.050,1.627,1.088,1.690,1.169,1.646,1.724,1.665,1.152,2.944,1.960,2.498,1.706,2.509,2.384,1.064,2.945,2.398,1.316,4.316,1.758,1.446,1.538,3.420,1.620,1.957,2.338,3.413,5.251,4.818,5.508,4.683,1.910,1.591,1.086,3.202,2.948,1.985,2.450,1.865,2.927,2.005
FWI_FD,AMJJAS,1.554,1.594,2.349,2.680,2.089,1.380,2.160,1.347,2.079,2.259,2.100,1.440,3.863,2.529,3.262,2.199,3.235,3.106,1.239,3.867,2.668,1.676,5.697,2.184,1.881,1.855,4.513,2.006,2.572,3.081,4.141,6.245,5.339,6.328,5.642,2.116,2.023,1.385,4.134,3.877,2.361,2.999,2.296,3.885,2.539
FWI_FD,ONDJFM,0.149,0.075,0.145,0.254,0.161,0.165,0.156,0.143,0.312,0.232,0.130,0.152,0.168,0.129,0.197,0.138,0.185,0.194,0.088,0.244,0.155,0.595,0.132,0.253,0.094,0.115,0.290,0.220,0.092,0.097,0.181,1.012,2.421,2.745,2.202,0.338,0.412,0.131,0.130,0.226,0.215,0.332,0.420,0.097,0.108
FWI_FD,NDJF,0.069,0.061,0.063,0.118,0.114,0.133,0.088,0.073,0.190,0.137,0.070,0.079,0.081,0.099,0.179,0.069,0.105,0.065,0.065,0.066,0.137,0.081,0.062,0.102,0.077,0.069,0.141,0.065,0.075,0.066,0.159,0.637,2.178,2.311,1.728,0.114,0.108,0.068,0.060,0.123,0.119,0.135,0.052,0.047,0.041
FWI_3+,year,3.741,4.575,8.090,9.344,6.439,2.846,5.050,0.611,8.117,6.382,7.090,1.318,33.881,16.847,23.899,3.154,16.384,18.777,1.569,18.217,13.379,1.204,54.196,5.299,5.393,2.014,41.035,3.910,14.601,17.422,34.346,72.479,65.857,77.737,59.004,7.763,8.556,0.260,32.575,23.830,5.352,21.748,4.657,28.435,8.276
FWI_3+,MAMJJASO,3.741,4.575,8.090,9.344,6.439,2.846,5.050,0.611,8.117,6.382,7.090,1.318,33.881,16.847,23.899,3.154,16.384,18.777,1.569,18.217,13.379,1.204,54.196,5.299,5.393,2.014,41.035,3.910,14.601,17.333,33.094,64.993,51.107,67.478,54.026,7.763,8.556,0.260,32.575,23.830,5.352,21.748,4.657,28.435,8.276
FWI_3+,AMJJAS,3.741,4.575,8.016,9.344,6.439,2.846,5.050,0.611,8.117,6.382,7.090,1.318,33.881,16.847,23.899,3.154,16.384,18.777,1.569,18.217,12.604,1.204,54.196,5.299,5.393,2.014,41.035,3.910,14.601,17.277,30.084,57.998,41.156,56.636,49.764,7.763,8.556,0.260,32.575,23.830,5.348,21.707,4.647,28.435,8.276
FWI_3+,ONDJFM,0.000,0.000,0.000,0.073,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.775,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.282,5.019,24.770,22.155,21.704,0.000,0.000,0.000,0.000,0.000,0.000,0.004,0.050,0.000,0.000
FWI_3+,NDJF,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.141,1.211,14.120,11.404,11.937,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
FWI_4+,year,0.000,0.001,0.041,0.047,0.021,0.000,0.031,0.000,0.001,0.002,0.004,0.000,0.455,0.142,0.301,0.000,0.521,0.447,0.000,0.001,0.078,0.000,0.816,0.082,0.043,0.000,1.182,0.000,0.290,0.256,0.947,5.620,5.390,6.490,8.200,0.001,0.018,0.000,0.310,0.904,0.006,0.270,0.001,1.004,0.000
FWI_4+,MAMJJASO,0.000,0.001,0.041,0.047,0.021,0.000,0.031,0.000,0.001,0.002,0.004,0.000,0.455,0.142,0.301,0.000,0.521,0.447,0.000,0.001,0.078,0.000,0.816,0.082,0.043,0.000,1.182,0.000,0.290,0.255,0.947,5.620,5.390,6.490,8.200,0.001,0.018,0.000,0.310,0.904,0.006,0.270,0.001,1.004,0.000
FWI_4+,AMJJAS,0.000,0.001,0.041,0.047,0.021,0.000,0.031,0.000,0.001,0.002,0.004,0.000,0.455,0.142,0.301,0.000,0.521,0.447,0.000,0.001,0.078,0.000,0.816,0.082,0.043,0.000,1.182,0.000,0.290,0.252,0.929,5.620,5.390,6.476,7.465,0.001,0.018,0.000,0.310,0.904,0.006,0.270,0.001,1.004,0.000
FWI_4+,ONDJFM,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.004,0.019,0.000,0.014,0.735,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
FWI_4+,NDJF,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
FWI_5+,year,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.004,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
FWI_5+,MAMJJASO,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.004,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
FWI_5+,AMJJAS,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.004,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
FWI_5+,ONDJFM,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
FWI_5+,NDJF,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
FWI_6,year,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
FWI_6,MAMJJASO,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
FWI_6,AMJJAS,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
